target,target_value,value,pct_error,complexity,expr
cabibbo_deg,13.04,13.043165643360028,0.02427640613519429,6,(exp(phi) + 8)
cabibbo_deg,13.04,13.036591714642835,0.026137157646963005,8,(inv(pi) + (10 + e))
cabibbo_deg,13.04,13.036310293191312,0.028295297612635217,7,(log(11) * (2 * e))
cabibbo_deg,13.04,13.044271909999159,0.032760046005826056,8,(inv(10) + (8 * phi))
cabibbo_deg,13.04,13.044395348194564,0.0337066579337832,6,(sqrt(90) / (8 / 11))
cabibbo_deg,13.04,13.035181000908251,0.03695551450727155,8,(inv(11) + (8 * phi))
cabibbo_deg,13.04,13.034906618814444,0.039059671668364195,7,(sqrt(11) + (7 + e))
cabibbo_deg,13.04,13.045454545454545,0.04182933630786674,5,((45 / 22) + 11)
cabibbo_deg,13.04,13.033720839108632,0.0481530743202994,8,(log(6048) + (7 / phi))
cabibbo_deg,13.04,13.047087486108506,0.0543518873351735,7,(log(6) * (10 - e))
cabibbo_deg,13.04,13.047197551196598,0.05519594475919593,6,((pi / 3) + 12)
cabibbo_deg,13.04,13.03275925283613,0.05552720217691563,5,(sqrt(40) + sqrt(45))
cabibbo_deg,13.04,13.047528830898528,0.057736433270930164,8,(sqrt(6048) - (40 * phi))
cabibbo_deg,13.04,13.03224755112299,0.05945129506908308,8,(sqrt(2) + (10 + phi))
cabibbo_deg,13.04,13.047752776603415,0.059453808308406624,6,((24 / 5) * e)
cabibbo_deg,13.04,13.050705333535419,0.08209611606916772,8,(inv(pi) + (40 / pi))
cabibbo_deg,13.04,13.051414250641095,0.08753259694091789,6,(log(45) / (7 / 24))
cabibbo_deg,13.04,13.051615161792379,0.08907332662867658,7,(inv(3) + (10 + e))
cabibbo_deg,13.04,13.027972799213316,0.09223313486720144,6,((7 * e) - 6)
cabibbo_deg,13.04,13.027717322314697,0.09419231353759545,8,(sqrt(7) + (12 - phi))
higgs_over_z,1.371897056178691,1.3718281828459045,0.005020298897523041,6,((11 + e) / 10)
higgs_over_z,1.371897056178691,1.3720026131221275,0.007694232082582247,7,(log(pi) + (5 / 22))
higgs_over_z,1.371897056178691,1.372019649514069,0.008936044787470586,7,(inv(10) + sqrt(phi))
higgs_over_z,1.371897056178691,1.3716814692820414,0.015714509749738637,6,((10 - pi) / 5)
higgs_over_z,1.371897056178691,1.372453850905516,0.04058575126445151,7,(sqrt(pi) - (2 / 5))
higgs_over_z,1.371897056178691,1.3713395613953825,0.04063677961824062,6,(log(3) + (3 / 11))
higgs_over_z,1.371897056178691,1.3725468957064284,0.04736795117466948,5,(sqrt(2) - inv(24))
higgs_over_z,1.371897056178691,1.371174925791189,0.05263735965098243,7,(log(90) / (6 - e))
higgs_over_z,1.371897056178691,1.3726272624500457,0.05322602509175973,6,((45 / 11) - e)
higgs_over_z,1.371897056178691,1.371011481100751,0.06455113187622531,6,(sqrt(5280) / (45 + 8))
higgs_over_z,1.371897056178691,1.3709677419354838,0.06773935690158277,7,((40 + 45) / (40 + 22))
higgs_over_z,1.371897056178691,1.3708745526254535,0.07453209033668384,9,(exp(phi) / (10 / e))
higgs_over_z,1.371897056178691,1.372928792839839,0.07520510788337906,8,(exp(2) / (7 - phi))
higgs_over_z,1.371897056178691,1.373015873015873,0.08155253574917952,6,(inv(2) + (5280 / 6048))
higgs_over_z,1.371897056178691,1.373265360835137,0.09973814363720623,6,(log(3) / (8 / 10))
higgs_over_z,1.371897056178691,1.3733597380570537,0.10661746606825734,5,(sqrt(10) / log(10))
higgs_over_z,1.371897056178691,1.373408863888655,0.11019833471872026,9,((40 / 90) * (5 / phi))
higgs_over_z,1.371897056178691,1.37361228866811,0.12502632626070379,6,(log(3) + (11 / 40))
higgs_over_z,1.371897056178691,1.3701597308354978,0.12663671340124694,6,(log(240) / (40 / 10))
higgs_over_z,1.371897056178691,1.3736758630192802,0.129660373027114,7,(log(pi) / (5 / 6))
higgs_over_z,1.371897056178691,1.3701007139484922,0.13093855855353478,8,(log(phi) + (40 / 45))
higgs_over_z,1.371897056178691,1.3737212707001283,0.13297021910073425,7,(sqrt(e) - (11 / 40))
higgs_over_z,1.371897056178691,1.3737316615505217,0.13372762654225118,7,(sqrt(7) - sqrt(phi))
higgs_over_z,1.371897056178691,1.37379096946803,0.13805068542200316,5,(sqrt(22) - sqrt(11))
higgs_over_z,1.371897056178691,1.3737966459370292,0.1384644532753365,6,(log(22) * (40 / 90))
omega_lambda,0.6889,0.6888888888888889,0.0016128772116523271,5,((40 + 22) / 90)
omega_lambda,0.6889,0.6888794541139363,0.002982419228292253,4,(log(40) - 3)
omega_lambda,0.6889,0.688830101885421,0.01014633685279643,5,(exp(e) / 22)
