i,j,proj,proj_prime,defect,sign
23,7,0,2,2,-1
7,26,0,0,0,-1
26,7,0,0,0,-1
7,29,0,0,0,-1
29,7,0,0,0,-1
7,32,0,0,0,-1
32,7,0,0,0,-1
7,35,0,0,0,-1
35,7,0,0,0,-1
7,38,0,0,0,-1
38,7,0,2,2,-1
8,11,0,2,2,-1
11,8,0,0,0,-1
8,14,0,0,0,-1
14,8,2,0,1,-1
8,17,0,0,0,-1
17,8,0,2,2,-1
8,20,0,0,0,-1
20,8,0,0,0,-1
8,24,0,0,0,-1
24,8,2,0,1,-1
8,27,0,0,0,-1
27,8,0,0,0,-1
8,30,0,2,2,-1
30,8,0,0,0,-1
8,31,2,0,1,-1
31,8,0,0,0,-1
8,34,0,0,0,-1
34,8,0,0,0,-1
8,37,2,0,1,-1
37,8,0,0,0,-1
9,12,0,0,0,-1
12,9,2,0,1,-1
9,14,0,0,0,-1
14,9,0,2,2,-1
9,17,0,0,0,-1
17,9,0,0,0,-1
9,20,0,0,0,-1
20,9,0,0,0,-1
9,22,2,0,1,-1
22,9,0,0,0,-1
9,25,0,0,0,-1
25,9,2,0,1,-1
9,28,0,0,0,-1
28,9,0,0,0,-1
9,33,0,0,0,-1
33,9,0,2,2,-1
9,36,2,2,0,-1
36,9,0,0,0,-1
9,39,0,0,0,-1
39,9,0,2,2,-1
10,15,0,2,2,-1
15,10,0,0,0,-1
10,18,0,0,0,-1
18,10,0,2,2,-1
10,21,0,0,0,-1
21,10,0,2,2,-1
10,24,0,2,2,-1
24,10,0,0,0,-1
10,27,0,0,0,-1
27,10,0,2,2,-1
10,30,0,0,0,-1
30,10,0,0,0,-1
10,33,0,0,0,-1
33,10,0,0,0,-1
10,36,0,2,2,-1
36,10,0,0,0,-1
10,39,0,0,0,-1
39,10,0,0,0,-1
11,15,0,2,2,-1
15,11,0,0,0,-1
11,18,0,0,0,-1
18,11,0,2,2,-1
11,21,0,0,0,-1
21,11,0,0,0,-1
