edgepair_id,gen,edgepair_image,flip_Z2,rot_Z3
64,2,65,0,0
64,3,46,0,0
64,4,96,0,0
64,5,84,0,0
64,6,65,0,0
64,7,52,0,0
64,8,61,0,0
64,9,61,0,0
65,0,20,1,0
65,1,10,0,0
65,2,63,0,0
65,3,47,0,0
65,4,78,0,0
65,5,85,0,0
65,6,61,0,0
65,7,53,0,0
65,8,62,0,0
65,9,62,0,0
66,0,92,1,0
66,1,69,0,0
66,2,67,0,0
66,3,75,0,0
66,4,83,1,0
66,5,71,0,0
66,6,30,0,0
66,7,30,0,0
66,8,93,0,0
66,9,93,0,0
67,0,108,1,0
67,1,70,0,0
67,2,68,0,0
67,3,76,0,0
67,4,64,1,0
67,5,69,0,0
67,6,91,1,0
67,7,33,0,0
67,8,94,0,0
67,9,94,0,0
68,0,33,0,0
68,1,71,0,0
68,2,66,0,0
68,3,77,0,0
68,4,99,1,0
68,5,70,0,0
68,6,110,1,0
68,7,36,0,0
68,8,95,0,0
68,9,95,0,0
69,0,38,1,0
69,1,72,0,0
69,2,70,0,0
69,3,78,0,0
69,4,95,1,0
69,5,74,0,0
69,6,105,0,0
69,7,32,0,0
69,8,99,0,0
69,9,99,0,0
70,0,84,1,0
70,1,73,0,0
70,2,71,0,0
70,3,79,0,0
70,4,75,1,0
70,5,72,0,0
70,6,35,1,0
70,7,35,0,0
70,8,100,0,0
70,9,100,0,0
71,0,106,0,0
71,1,74,0,0
71,2,69,0,0
71,3,80,0,0
71,4,58,1,0
71,5,73,0,0
71,6,86,1,0
71,7,38,0,0
71,8,101,0,0
71,9,101,0,0
72,0,104,1,0
72,1,66,0,0
72,2,73,0,0
72,3,81,0,0
72,4,61,0,0
72,5,68,0,0
72,6,87,0,0
72,7,31,0,0
72,8,96,0,0
72,9,96,0,0
73,0,31,1,0
73,1,67,0,0
73,2,74,0,0
73,3,82,0,0
73,4,97,0,0
73,5,66,0,0
73,6,103,1,0
73,7,34,0,0
73,8,97,0,0
73,9,97,0,0
74,0,88,0,0
74,1,68,0,0
74,2,72,0,0
74,3,83,0,0
74,4,79,0,0
74,5,67,0,0
74,6,37,1,0
74,7,37,0,0
74,8,98,0,0
74,9,98,0,0
75,0,74,1,0
75,1,114,0,0
75,2,76,0,0
75,3,84,0,0
75,4,92,1,0
75,5,53,0,0
75,6,31,0,0
75,7,87,0,0
75,8,102,0,0
75,9,102,0,0
76,0,117,1,0
76,1,115,0,0
76,2,77,0,0
76,3,85,0,0
76,4,46,1,0
76,5,51,0,0
76,6,73,1,0
76,7,88,0,0
76,8,103,0,0
76,9,103,0,0
77,0,34,0,0
77,1,116,0,0
77,2,75,0,0
77,3,86,0,0
77,4,108,1,0
77,5,52,0,0
77,6,119,1,0
77,7,89,0,0
77,8,104,0,0
77,9,104,0,0
78,0,36,1,0
78,1,111,0,0
78,2,79,0,0
78,3,87,0,0
78,4,104,1,0
78,5,55,0,0
78,6,114,0,0
78,7,90,0,0
78,8,108,0,0
78,9,108,0,0
79,0,66,1,0
79,1,112,0,0
79,2,80,0,0
79,3,88,0,0
79,4,84,1,0
79,5,56,0,0
79,6,33,1,0
79,7,91,0,0
79,8,109,0,0
79,9,109,0,0
80,0,115,0,0
80,1,113,0,0
80,2,78,0,0
80,3,89,0,0
80,4,40,1,0
80,5,54,0,0
80,6,68,1,0
80,7,92,0,0
80,8,110,0,0
80,9,110,0,0
81,0,113,1,0
81,1,117,0,0
81,2,82,0,0
81,3,90,0,0
81,4,43,0,0
81,5,48,0,0
81,6,69,0,0
81,7,84,0,0
81,8,105,0,0
81,9,105,0,0
82,0,32,1,0
82,1,118,0,0
82,2,83,0,0
82,3,91,0,0
82,4,106,0,0
82,5,49,0,0
82,6,112,1,0
