u,v,gen,exp,qid_u,qid_v,twin_u,twin_v,x_u,y_u,z_u,x_v,y_v,z_v,core_intersection_u_v
10,3,g3,2,16,24,1,1,1,0,1,2,1,0,3
10,27,g5,0,16,15,1,0,1,0,1,0,1,0,2
10,28,g8,0,16,3,1,1,1,0,1,2,2,0,2
10,28,g9,0,16,3,1,1,1,0,1,2,2,0,2
11,21,g2,0,16,12,0,0,1,0,1,1,0,0,3
11,26,g3,0,16,24,0,0,1,0,1,2,1,0,3
11,29,g5,0,16,15,0,1,1,0,1,0,1,0,2
11,2,g8,0,16,3,0,0,1,0,1,2,2,0,3
11,2,g9,0,16,3,0,0,1,0,1,2,2,0,3
12,22,g2,0,11,23,1,1,0,2,1,0,2,0,3
12,10,g3,1,11,16,1,1,0,2,1,1,0,1,3
12,30,g5,0,11,21,1,0,0,2,1,2,0,1,1
12,31,g8,0,11,0,1,1,0,2,1,0,0,0,2
12,31,g9,0,11,0,1,1,0,2,1,0,0,0,2
13,23,g2,0,13,26,0,0,1,2,1,1,2,0,3
13,32,g3,0,13,20,0,0,1,2,1,1,2,2,3
13,0,g5,0,13,0,0,0,1,2,1,0,0,0,1
13,15,g8,0,13,21,0,1,1,2,1,2,0,1,3
13,15,g9,0,13,21,0,1,1,2,1,2,0,1,3
14,24,g2,0,2,4,1,1,1,1,2,1,1,1,3
14,31,g3,0,2,0,1,1,1,1,2,0,0,0,3
14,4,g5,0,2,11,1,0,1,1,2,0,2,1,1
14,3,g8,0,2,24,1,1,1,1,2,2,1,0,2
14,3,g9,0,2,24,1,1,1,1,2,2,1,0,2
15,25,g2,0,21,19,1,1,2,0,1,2,0,0,3
15,33,g3,0,21,9,1,1,2,0,1,2,0,2,3
15,14,g5,0,21,2,1,1,2,0,1,1,1,2,1
15,13,g8,0,21,13,1,0,2,0,1,1,2,1,3
15,13,g9,0,21,13,1,0,2,0,1,1,2,1,3
16,2,g2,0,6,3,0,0,2,2,1,2,2,0,3
16,34,g3,0,6,1,0,0,2,2,1,1,1,0,3
16,35,g5,0,6,22,0,1,2,2,1,1,0,2,2
16,36,g8,0,6,22,0,0,2,2,1,1,0,2,3
16,36,g9,0,6,22,0,0,2,2,1,1,0,2,3
17,3,g2,0,10,24,1,1,2,1,1,2,1,0,3
17,37,g3,0,10,18,1,1,2,1,1,0,2,2,3
17,32,g5,2,10,20,1,0,2,1,1,1,2,2,1
17,38,g8,0,10,1,1,1,2,1,1,1,1,0,2
17,38,g9,0,10,1,1,1,2,1,1,1,1,0,2
18,4,g2,0,18,11,0,0,0,2,2,0,2,1,3
18,36,g3,0,18,22,0,0,0,2,2,1,0,2,3
18,33,g5,2,18,9,0,1,0,2,2,2,0,2,1
18,5,g8,0,18,8,0,1,0,2,2,0,0,1,3
18,5,g9,0,18,8,0,1,0,2,2,0,0,1,3
19,34,g2,0,4,1,0,0,1,1,1,1,1,0,3
19,1,g3,0,4,5,0,0,1,1,1,0,0,2,3
19,22,g5,1,4,23,0,1,1,1,1,0,2,0,1
19,39,g8,0,4,17,0,0,1,1,1,2,1,2,3
19,39,g9,0,4,17,0,0,1,1,1,2,1,2,3
20,35,g2,0,12,22,1,1,1,0,0,1,0,2,3
20,7,g3,2,12,17,1,1,1,0,0,2,1,2,3
20,40,g5,0,12,14,1,0,1,0,0,0,1,2,2
20,41,g8,0,12,7,1,0,1,0,0,2,2,2,2
20,41,g9,0,12,7,1,0,1,0,0,2,2,2,2
21,36,g2,0,12,22,0,0,1,0,0,1,0,2,3
21,39,g3,0,12,17,0,0,1,0,0,2,1,2,3
