cycle_id,cycle_len,pos,root,image
21,6,4,"(0, 0, -1, -1, -1, -1, -1, -1)","(-1, -1, -2, -3, -2, -2, -1, -1)"
21,6,5,"(-1, -1, -2, -3, -2, -2, -1, -1)","(-1, -1, -2, -3, -2, -2, -1, 0)"
22,6,0,"(-1, -2, -2, -3, -2, -1, 0, 0)","(0, 0, 0, 0, 1, 0, 0, 0)"
22,6,1,"(0, 0, 0, 0, 1, 0, 0, 0)","(1, 1, 2, 3, 2, 2, 2, 1)"
22,6,2,"(1, 1, 2, 3, 2, 2, 2, 1)","(1, 2, 3, 4, 4, 3, 2, 1)"
22,6,3,"(1, 2, 3, 4, 4, 3, 2, 1)","(1, 2, 2, 4, 4, 3, 2, 1)"
22,6,4,"(1, 2, 2, 4, 4, 3, 2, 1)","(0, 1, 1, 2, 2, 1, 1, 1)"
22,6,5,"(0, 1, 1, 2, 2, 1, 1, 1)","(-1, -2, -2, -3, -2, -1, 0, 0)"
23,6,0,"(-1, -2, -2, -4, -3, -2, -2, -1)","(-2, -2, -3, -4, -3, -2, -1, 0)"
23,6,1,"(-2, -2, -3, -4, -3, -2, -1, 0)","(0, -1, 0, -1, -1, -1, -1, 0)"
23,6,2,"(0, -1, 0, -1, -1, -1, -1, 0)","(1, 0, 1, 0, 0, 0, 0, 0)"
23,6,3,"(1, 0, 1, 0, 0, 0, 0, 0)","(2, 3, 4, 6, 5, 4, 3, 1)"
23,6,4,"(2, 3, 4, 6, 5, 4, 3, 1)","(1, 0, 1, 1, 1, 0, 0, 0)"
23,6,5,"(1, 0, 1, 1, 1, 0, 0, 0)","(-1, -2, -2, -4, -3, -2, -2, -1)"
24,6,0,"(-1, -2, -3, -4, -3, -2, -1, 0)","(-1, -1, -2, -2, -1, 0, 0, 0)"
24,6,1,"(-1, -1, -2, -2, -1, 0, 0, 0)","(-1, -2, -3, -4, -3, -2, -2, -1)"
24,6,2,"(-1, -2, -3, -4, -3, -2, -2, -1)","(2, 3, 4, 6, 5, 4, 2, 1)"
24,6,3,"(2, 3, 4, 6, 5, 4, 2, 1)","(0, 0, 0, 0, -1, 0, 0, 0)"
24,6,4,"(0, 0, 0, 0, -1, 0, 0, 0)","(-2, -2, -3, -4, -3, -3, -2, -1)"
24,6,5,"(-2, -2, -3, -4, -3, -3, -2, -1)","(-1, -2, -3, -4, -3, -2, -1, 0)"
25,6,0,"(-1, -2, -3, -4, -3, -3, -2, -1)","(1, 1, 2, 3, 2, 2, 1, 1)"
25,6,1,"(1, 1, 2, 3, 2, 2, 1, 1)","(0, 0, -1, -1, -1, -1, -1, 0)"
25,6,2,"(0, 0, -1, -1, -1, -1, -1, 0)","(-1, -1, -2, -2, -2, -1, -1, -1)"
25,6,3,"(-1, -1, -2, -2, -2, -1, -1, -1)","(1, 1, 1, 1, 0, 0, 0, 0)"
25,6,4,"(1, 1, 1, 1, 0, 0, 0, 0)","(0, -1, 0, -1, -1, -1, -1, -1)"
25,6,5,"(0, -1, 0, -1, -1, -1, -1, -1)","(-1, -2, -3, -4, -3, -3, -2, -1)"
