u,qid,twin_bit,gen,cocycle_Z3_exp,orient_index,target_qid,target_twin,v,sheet_id
41,5,1,g5,0,7,20,1,21,4
41,5,1,g8,0,8,20,0,20,4
41,5,1,g9,0,9,20,0,20,4
42,26,1,g2,2,5,13,1,47,4
42,26,1,g3,1,6,14,1,29,4
42,26,1,g5,0,7,5,1,41,4
42,26,1,g8,0,8,26,0,40,4
42,26,1,g9,0,9,26,0,40,4
43,23,1,g2,2,5,17,1,48,5
43,23,1,g3,1,6,9,1,30,5
43,23,1,g5,2,7,4,0,19,5
43,23,1,g8,2,8,24,1,52,5
43,23,1,g9,2,9,24,1,52,5
44,7,1,g2,0,5,6,1,51,5
44,7,1,g3,1,6,5,1,41,5
44,7,1,g5,2,7,16,1,39,5
44,7,1,g8,0,8,11,1,22,5
44,7,1,g9,0,9,11,1,22,5
45,22,1,g2,0,5,24,1,52,4
45,22,1,g3,0,6,25,1,53,4
45,22,1,g5,1,7,0,1,31,4
45,22,1,g8,1,8,9,1,30,4
45,22,1,g9,1,9,9,1,30,4
46,13,0,g2,1,0,14,0,27,5
46,13,0,g3,2,1,26,0,40,5
46,13,0,g5,1,2,8,0,16,5
46,13,0,g8,0,3,13,1,47,5
46,13,0,g9,0,4,13,1,47,5
47,13,1,g2,1,5,14,1,29,5
47,13,1,g3,2,6,26,1,42,5
47,13,1,g5,1,7,8,1,50,5
47,13,1,g8,0,8,13,0,46,5
47,13,1,g9,0,9,13,0,46,5
48,17,1,g2,1,5,9,1,30,4
48,17,1,g3,2,6,23,1,43,4
48,17,1,g5,0,7,1,0,34,4
48,17,1,g8,2,8,25,1,53,4
48,17,1,g9,2,9,25,1,53,4
49,18,1,g2,0,5,12,1,26,5
49,18,1,g3,0,6,21,0,18,5
49,18,1,g5,2,7,25,1,53,5
49,18,1,g8,0,8,1,0,34,5
49,18,1,g9,0,9,1,0,34,5
50,8,1,g2,0,5,3,1,28,5
50,8,1,g3,2,6,1,1,38,5
50,8,1,g5,0,7,10,1,36,5
50,8,1,g8,0,8,10,0,35,5
50,8,1,g9,0,9,10,0,35,5
51,6,1,g2,0,5,0,1,31,5
51,6,1,g3,1,6,8,1,50,5
51,6,1,g5,2,7,18,1,49,5
51,6,1,g8,0,8,21,1,37,5
51,6,1,g9,0,9,21,1,37,5
52,24,1,g2,2,5,25,1,53,5
52,24,1,g3,1,6,22,1,45,5
52,24,1,g5,1,7,7,1,44,5
52,24,1,g8,1,8,23,1,43,5
52,24,1,g9,1,9,23,1,43,5
53,25,1,g2,1,5,22,1,45,5
53,25,1,g3,2,6,24,1,52,5
53,25,1,g5,2,7,6,1,51,5
53,25,1,g8,1,8,17,1,48,5
53,25,1,g9,1,9,17,1,48,5
