u,v,gen,cocycle_Z3_exp,L_u,L_v,s_g,predicted,ok
42,40,g9,0,2,2,0,0,1
43,48,g2,2,2,1,0,2,1
43,30,g3,1,2,2,2,1,1
43,19,g5,2,2,1,0,2,1
43,52,g8,2,2,1,0,2,1
43,52,g9,2,2,1,0,2,1
44,51,g2,0,2,2,0,0,1
44,41,g3,1,2,2,2,1,1
44,39,g5,2,2,1,0,2,1
44,22,g8,0,2,2,0,0,1
44,22,g9,0,2,2,0,0,1
45,52,g2,0,1,1,0,0,1
45,53,g3,0,1,0,2,0,1
45,31,g5,1,1,2,0,1,1
45,30,g8,1,1,2,0,1,1
45,30,g9,1,1,2,0,1,1
46,27,g2,1,1,2,0,1,1
46,40,g3,2,1,2,2,2,1
46,16,g5,1,1,2,0,1,1
46,47,g8,0,1,1,0,0,1
46,47,g9,0,1,1,0,0,1
47,29,g2,1,1,2,0,1,1
47,42,g3,2,1,2,2,2,1
47,50,g5,1,1,2,0,1,1
47,46,g8,0,1,1,0,0,1
47,46,g9,0,1,1,0,0,1
48,30,g2,1,1,2,0,1,1
48,43,g3,2,1,2,2,2,1
48,34,g5,0,1,1,0,0,1
48,53,g8,2,1,0,0,2,1
48,53,g9,2,1,0,0,2,1
49,26,g2,0,1,1,0,0,1
49,18,g3,0,1,0,2,0,1
49,53,g5,2,1,0,0,2,1
49,34,g8,0,1,1,0,0,1
49,34,g9,0,1,1,0,0,1
50,28,g2,0,2,2,0,0,1
50,38,g3,2,2,0,2,2,1
50,36,g5,0,2,2,0,0,1
50,35,g8,0,2,2,0,0,1
50,35,g9,0,2,2,0,0,1
51,31,g2,0,2,2,0,0,1
51,50,g3,1,2,2,2,1,1
51,49,g5,2,2,1,0,2,1
51,37,g8,0,2,2,0,0,1
51,37,g9,0,2,2,0,0,1
52,53,g2,2,1,0,0,2,1
52,45,g3,1,1,1,2,1,1
52,44,g5,1,1,2,0,1,1
52,43,g8,1,1,2,0,1,1
52,43,g9,1,1,2,0,1,1
53,45,g2,1,0,1,0,1,1
53,52,g3,2,0,1,2,2,1
53,51,g5,2,0,2,0,2,1
53,48,g8,1,0,1,0,1,1
53,48,g9,1,0,1,0,1,1
