mode,rep,base_ints,num_exprs,alpha__best_pct_error,alpha__hits_le_1.0,higgs_over_z__best_pct_error,higgs_over_z__hits_le_1.0,omega_lambda__best_pct_error,omega_lambda__hits_le_1.0,cabibbo_deg__best_pct_error,cabibbo_deg__hits_le_1.0,alpha__hits_le_0.1,higgs_over_z__hits_le_0.1,omega_lambda__hits_le_0.1,cabibbo_deg__hits_le_0.1
strict,64,"[15, 24, 16, 4, 22, 26, 2, 18, 5, 19, 13, 115, 351, 260, 316, 4735, 4345]",60000,0.014323488322556265,18,0.00744840025415425,40,0.02639843648364692,28,0.008736506950381456,120,4,8,2,14
strict,65,"[24, 10, 2, 23, 28, 8, 12, 9, 30, 21, 26, 275, 101, 143, 159, 1683, 2214]",60000,0.004135663849200093,14,0.00744840025415425,36,0.032044522714636495,21,0.01179801793298177,69,2,3,2,10
strict,66,"[11, 29, 28, 6, 15, 10, 26, 17, 13, 2, 4, 394, 98, 144, 38, 3034, 4079]",60000,0.018283660283035706,15,0.04736795117466948,44,0.08289846612810119,30,0.0062601727807722295,109,1,6,3,15
strict,67,"[3, 9, 24, 7, 28, 10, 19, 27, 29, 25, 17, 139, 306, 57, 169, 3563, 4955]",60000,0.0017969075498303,15,0.001895623066924506,35,0.0947595279887746,26,0.0,48,4,5,2,9
strict,68,"[24, 23, 17, 2, 21, 26, 14, 16, 12, 5, 10, 178, 365, 69, 68, 3325, 6946]",60000,0.026276703649624464,16,0.00744840025415425,41,0.15693081845226609,24,0.01179801793298177,77,1,2,0,13
strict,69,"[28, 16, 10, 22, 30, 27, 3, 14, 8, 18, 25, 134, 372, 49, 383, 1953, 3015]",60000,0.006899507529025193,21,0.058168065276421765,28,0.0016128772116523271,26,0.0,44,3,2,3,5
strict,70,"[22, 19, 10, 28, 27, 12, 7, 8, 16, 29, 17, 100, 72, 103, 83, 1828, 4559]",60000,0.1725139502923848,20,0.001895623066924506,32,0.047695083259013615,29,0.01223304903911688,55,0,6,5,8
strict,71,"[16, 3, 19, 14, 4, 13, 18, 2, 15, 29, 27, 330, 59, 229, 146, 6362, 4507]",60000,0.050339526979409716,20,0.00226474245497635,39,0.046837198016580005,30,0.004647704034202875,116,2,4,2,15
strict,72,"[12, 22, 18, 10, 19, 27, 30, 8, 16, 3, 7, 400, 293, 334, 104, 3630, 4641]",60000,0.0716068413703621,14,0.024587650334532356,30,0.0016128772116523271,27,0.022722108611678175,31,2,2,6,4
strict,73,"[21, 9, 3, 4, 19, 25, 5, 20, 28, 7, 6, 223, 206, 318, 208, 5170, 1948]",60000,0.008307219617258214,31,0.011207210445849713,26,0.032044522714636495,21,0.0,45,3,2,2,7
strict,74,"[21, 9, 23, 16, 26, 15, 25, 30, 11, 14, 7, 153, 378, 205, 337, 2174, 4019]",60000,0.026276703649624464,22,0.0032061908889442717,32,0.0023329946439906647,31,0.0,47,2,5,1,4
strict,75,"[10, 27, 8, 11, 28, 12, 6, 22, 25, 19, 16, 251, 66, 290, 152, 2672, 6375]",60000,0.06176299812627498,15,0.06051595087566868,26,0.010858408459230242,22,0.0,40,3,1,1,7
strict,76,"[19, 10, 7, 14, 29, 8, 13, 9, 6, 15, 25, 243, 65, 253, 137, 6816, 4647]",60000,0.026276703649624464,13,0.013324630976347843,42,0.013766210695947929,44,0.0,108,1,6,3,19
strict,77,"[22, 7, 16, 3, 2, 26, 21, 24, 28, 10, 15, 96, 169, 152, 124, 5833, 3784]",60000,0.026276703649624464,21,0.00744840025415425,40,0.009484559604063915,23,0.010890478091994697,145,4,8,1,11
strict,78,"[6, 24, 18, 23, 25, 20, 12, 11, 21, 27, 17, 341, 222, 211, 166, 1214, 5875]",60000,0.05797181733473402,16,0.00027482146514932755,30,0.025331659736032783,31,0.0,56,1,2,4,9
strict,79,"[22, 10, 23, 21, 13, 18, 29, 17, 27, 30, 6, 343, 142, 229, 105, 2136, 5523]",60000,0.024148122684705123,17,0.052337518631376104,38,0.06486296394332816,32,0.011219118266169123,100,2,2,2,16
strict,80,"[4, 22, 9, 5, 28, 12, 20, 25, 15, 24, 13, 118, 338, 136, 189, 1120, 3463]",60000,0.09872793205268028,12,0.10469277911004306,28,0.039355928966812746,27,0.0,129,2,0,1,18
