u,v,w,centers,z2_parity,s3_holonomy_startsheet0,s3_type_startsheet0,fiber6_cycle_type,fiber6_perm,rotor_sheet,rotor_perm,tau_sheet_swap_perm,holonomy_type
0,1,2,3,0,"(0, 1, 2)",id,"(1, 1, 1, 1, 1, 1)","(0, 1, 2, 3, 4, 5)",,,,identity
0,1,3,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,1,4,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,1,5,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,1,6,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,1,7,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,1,8,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,1,9,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,1,10,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,1,12,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,1,14,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,1,16,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,1,17,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,1,18,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,1,20,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,1,22,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,1,24,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,1,25,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,1,26,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,1,28,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,1,30,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,1,32,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,2,3,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,2,4,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,2,5,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,2,6,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,2,7,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,2,8,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,2,9,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,2,10,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,2,11,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,2,13,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,2,15,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,2,17,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,2,18,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,2,19,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,2,21,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,2,23,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,2,25,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,2,26,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,2,27,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,2,29,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,2,31,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,3,4,3,0,"(0, 1, 2)",id,"(1, 1, 1, 1, 1, 1)","(0, 1, 2, 3, 4, 5)",,,,identity
0,3,5,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,3,6,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,3,7,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,3,8,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,3,9,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,3,11,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,3,12,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,3,13,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,3,16,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,3,17,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,3,19,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,3,20,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,3,21,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,3,24,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,3,25,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,3,27,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,3,28,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,3,29,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,3,32,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,4,5,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,4,6,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,4,7,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,4,8,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,4,10,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,4,11,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,4,12,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,4,14,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,4,15,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,4,18,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,4,19,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,4,20,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,4,22,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,4,23,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,4,26,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,4,27,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,4,28,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,4,30,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,4,31,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,5,6,3,0,"(0, 1, 2)",id,"(1, 1, 1, 1, 1, 1)","(0, 1, 2, 3, 4, 5)",,,,identity
0,5,7,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,5,8,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,5,9,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,5,12,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,5,13,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,5,14,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,5,15,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,5,17,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,5,20,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,5,21,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,5,22,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,5,23,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,5,25,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,5,28,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,5,29,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,5,30,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,5,31,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,6,7,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,6,8,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,6,10,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,6,11,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,6,13,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,6,14,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,6,16,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,6,18,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,6,19,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,6,21,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,6,22,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,6,24,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,6,26,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,6,27,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,6,29,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,6,30,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,6,32,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,7,8,3,0,"(0, 1, 2)",id,"(1, 1, 1, 1, 1, 1)","(0, 1, 2, 3, 4, 5)",,,,identity
0,7,9,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,7,11,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,7,14,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,7,15,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,7,16,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,7,17,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,7,19,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,7,22,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,7,23,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,7,24,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,7,25,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,7,27,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,7,30,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,7,31,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,7,32,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,8,10,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,8,12,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,8,13,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,8,15,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,8,16,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,8,18,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,8,20,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,8,21,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,8,23,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,8,24,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,8,26,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,8,28,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,8,29,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,8,31,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,8,32,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,9,10,3,0,"(0, 1, 2)",id,"(1, 1, 1, 1, 1, 1)","(0, 1, 2, 3, 4, 5)",,,,identity
0,9,11,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,9,12,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,9,13,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,9,14,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,9,15,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,9,16,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,9,17,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,9,18,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,9,20,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,9,22,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,9,24,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,9,25,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,9,26,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,9,27,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,9,29,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,9,31,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,10,11,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,10,12,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,10,13,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,10,14,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,10,15,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,10,16,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,10,17,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,10,18,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,10,19,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,10,21,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,10,23,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,10,25,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,10,26,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
0,10,28,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
0,10,30,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,10,32,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
0,11,12,3,0,"(0, 1, 2)",id,"(1, 1, 1, 1, 1, 1)","(0, 1, 2, 3, 4, 5)",,,,identity
0,11,13,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,11,14,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,11,15,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
0,11,16,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
0,11,17,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
0,11,19,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
0,11,20,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
