u,v,gen,cocycle_Z3_exp,qid_u,qid_v,x_u,y_u,z_u,x_v,y_v,z_v
10,3,g3,2,15,12,1,2,1,1,0,0
10,27,g5,0,15,14,1,2,1,2,2,1
10,28,g8,0,15,3,1,2,1,0,2,1
10,28,g9,0,15,3,1,2,1,0,2,1
11,21,g2,0,15,20,1,2,1,1,2,0
11,26,g3,0,15,12,1,2,1,1,0,0
11,29,g5,0,15,14,1,2,1,2,2,1
11,2,g8,0,15,3,1,2,1,0,2,1
11,2,g9,0,15,3,1,2,1,0,2,1
12,22,g2,0,19,11,1,1,2,1,1,1
12,10,g3,1,19,15,1,1,2,1,2,1
12,30,g5,0,19,9,1,1,2,2,1,2
12,31,g8,0,19,0,1,1,2,0,0,0
12,31,g9,0,19,0,1,1,2,0,0,0
13,23,g2,0,22,24,2,0,0,2,0,2
13,32,g3,0,22,25,2,0,0,2,0,1
13,0,g5,0,22,0,2,0,0,0,0,0
13,15,g8,0,22,9,2,0,0,2,1,2
13,15,g9,0,22,9,2,0,0,2,1,2
14,24,g2,0,2,4,0,1,2,0,1,1
14,31,g3,0,2,0,0,1,2,0,0,0
14,4,g5,0,2,19,0,1,2,1,1,2
14,3,g8,0,2,12,0,1,2,1,0,0
14,3,g9,0,2,12,0,1,2,1,0,0
15,25,g2,0,9,23,2,1,2,2,1,1
15,33,g3,0,9,17,2,1,2,2,1,0
15,14,g5,0,9,2,2,1,2,0,1,2
15,13,g8,0,9,22,2,1,2,2,0,0
15,13,g9,0,9,22,2,1,2,2,0,0
16,2,g2,0,8,3,0,2,2,0,2,1
16,34,g3,0,8,1,0,2,2,0,1,0
16,35,g5,0,8,10,0,2,2,1,2,2
16,36,g8,0,8,10,0,2,2,1,2,2
16,36,g9,0,8,10,0,2,2,1,2,2
17,3,g2,0,18,12,1,0,1,1,0,0
17,37,g3,0,18,21,1,0,1,1,1,0
17,32,g5,2,18,25,1,0,1,2,0,1
17,38,g8,0,18,1,1,0,1,0,1,0
17,38,g9,0,18,1,1,0,1,0,1,0
18,4,g2,0,21,19,1,1,0,1,1,2
18,36,g3,0,21,10,1,1,0,1,2,2
18,33,g5,2,21,17,1,1,0,2,1,0
18,5,g8,0,21,6,1,1,0,0,0,1
18,5,g9,0,21,6,1,1,0,0,0,1
19,34,g2,0,4,1,0,1,1,0,1,0
19,1,g3,0,4,7,0,1,1,0,0,2
19,22,g5,1,4,11,0,1,1,1,1,1
19,39,g8,0,4,16,0,1,1,1,0,2
19,39,g9,0,4,16,0,1,1,1,0,2
20,35,g2,0,20,10,1,2,0,1,2,2
20,7,g3,2,20,16,1,2,0,1,0,2
20,40,g5,0,20,26,1,2,0,2,2,0
20,41,g8,0,20,5,1,2,0,0,2,0
20,41,g9,0,20,5,1,2,0,0,2,0
21,36,g2,0,20,10,1,2,0,1,2,2
21,39,g3,0,20,16,1,2,0,1,0,2
21,42,g5,0,20,26,1,2,0,2,2,0
21,6,g8,0,20,5,1,2,0,0,2,0
21,6,g9,0,20,5,1,2,0,0,2,0
22,37,g2,0,11,21,1,1,1,1,1,0
22,20,g3,1,11,20,1,1,1,1,2,0
22,43,g5,0,11,23,1,1,1,2,1,1
22,44,g8,0,11,7,1,1,1,0,0,2
22,44,g9,0,11,7,1,1,1,0,0,2
23,32,g2,2,24,25,2,0,2,2,0,1
23,13,g3,1,24,22,2,0,2,2,0,0
23,1,g5,0,24,7,2,0,2,0,0,2
23,25,g8,0,24,23,2,0,2,2,1,1
23,25,g9,0,24,23,2,0,2,2,1,1
24,38,g2,0,4,1,0,1,1,0,1,0
24,44,g3,0,4,7,0,1,1,0,0,2
24,8,g5,0,4,11,0,1,1,1,1,1
24,7,g8,0,4,16,0,1,1,1,0,2
24,7,g9,0,4,16,0,1,1,1,0,2
25,33,g2,2,23,17,2,1,1,2,1,0
25,15,g3,1,23,9,2,1,1,2,1,2
25,24,g5,0,23,4,2,1,1,0,1,1
25,23,g8,0,23,24,2,1,1,2,0,2
25,23,g9,0,23,24,2,1,1,2,0,2
26,39,g2,0,12,16,1,0,0,1,0,2
26,4,g3,0,12,19,1,0,0,1,1,2
26,45,g5,0,12,22,1,0,0,2,0,0
26,9,g8,0,12,2,1,0,0,0,1,2
26,9,g9,0,12,2,1,0,0,0,1,2
27,40,g2,0,14,26,2,2,1,2,2,0
27,46,g3,0,14,13,2,2,1,2,2,2
27,2,g5,0,14,3,2,2,1,0,2,1
27,29,g8,0,14,14,2,2,1,2,2,1
27,29,g9,0,14,14,2,2,1,2,2,1
28,41,g2,0,3,5,0,2,1,0,2,0
28,14,g3,2,3,2,0,2,1,0,1,2
28,11,g5,0,3,15,0,2,1,1,2,1
28,10,g8,0,3,15,0,2,1,1,2,1
28,10,g9,0,3,15,0,2,1,1,2,1
29,42,g2,0,14,26,2,2,1,2,2,0
29,47,g3,0,14,13,2,2,1,2,2,2
29,28,g5,0,14,3,2,2,1,0,2,1
29,27,g8,0,14,14,2,2,1,2,2,1
29,27,g9,0,14,14,2,2,1,2,2,1
30,43,g2,0,9,23,2,1,2,2,1,1
30,48,g3,0,9,17,2,1,2,2,1,0
30,9,g5,2,9,2,2,1,2,0,1,2
30,45,g8,2,9,22,2,1,2,2,0,0
