edge_index,word_len,word,v_i,v_j,root_index,root_coords,we6_orbit_id,we6_orbit_size
65,3,"(4, 1, 3)",6,12,146,"(-1, -1, 1, -1, -1, -1, 1, -1)",1,27
201,3,"(4, 1, 4)",23,30,212,"(1, -1, -1, 1, -1, -1, 1, 1)",5,27
85,3,"(4, 1, 5)",8,11,67,"(0, 0, -2, 0, 0, 0, -2, 0)",6,27
61,3,"(4, 1, 6)",5,33,79,"(0, 0, 0, -2, 0, -2, 0, 0)",1,27
53,3,"(4, 1, 8)",5,8,43,"(0, -2, 0, 0, 0, -2, 0, 0)",1,27
4,3,"(4, 4, 6)",0,14,143,"(1, 1, 1, 1, 1, 1, -1, -1)",6,27
42,3,"(4, 4, 7)",4,7,3,"(-2, -2, 0, 0, 0, 0, 0, 0)",3,72
161,3,"(4, 5, 0)",17,18,155,"(-1, 1, 1, -1, 1, -1, 1, -1)",1,27
140,3,"(4, 5, 6)",14,15,90,"(0, 0, 0, 0, -2, 2, 0, 0)",4,27
75,3,"(4, 5, 7)",7,10,180,"(-1, -1, -1, 1, -1, -1, -1, 1)",3,72
38,3,"(4, 6, 5)",3,27,235,"(-1, 1, 1, -1, 1, 1, 1, 1)",2,27
50,3,"(4, 6, 7)",4,31,31,"(0, -2, -2, 0, 0, 0, 0, 0)",3,72
196,3,"(4, 7, 4)",22,29,102,"(0, 0, 0, 0, 0, -2, 2, 0)",11,1
174,3,"(5, 0, 0)",19,20,172,"(-1, -1, -1, 1, 1, 1, 1, -1)",3,72
175,3,"(5, 0, 2)",19,21,179,"(1, 1, 1, -1, -1, -1, -1, 1)",3,72
210,3,"(5, 0, 5)",25,30,226,"(-1, -1, 1, -1, -1, 1, 1, 1)",2,27
158,3,"(5, 0, 7)",16,34,151,"(-1, 1, 1, 1, -1, -1, 1, -1)",1,27
153,3,"(5, 0, 8)",16,17,109,"(0, 0, 0, 0, 0, 0, 2, -2)",1,27
132,3,"(5, 5, 6)",13,14,78,"(0, 0, 0, -2, 0, 2, 0, 0)",4,27
17,3,"(5, 5, 7)",1,7,48,"(0, 2, 0, 0, 0, 0, 0, 2)",2,27
195,3,"(5, 6, 5)",22,27,98,"(0, 0, 0, 0, -2, 0, 0, 2)",2,27
137,3,"(5, 6, 7)",13,31,72,"(0, 0, 0, 2, 2, 0, 0, 0)",3,72
40,3,"(5, 7, 4)",3,29,237,"(-1, 1, -1, 1, 1, 1, 1, 1)",2,27
24,3,"(6, 5, 4)",2,31,96,"(0, 0, 0, 0, 2, 0, 0, 2)",2,27
105,3,"(6, 5, 6)",10,15,32,"(0, 2, 0, 2, 0, 0, 0, 0)",3,72
134,3,"(6, 7, 4)",13,22,52,"(0, 0, 2, 2, 0, 0, 0, 0)",3,72
47,3,"(6, 7, 5)",4,22,11,"(-2, 0, 0, -2, 0, 0, 0, 0)",3,72
68,4,"(0, 0, 1, 1)",6,19,37,"(0, 2, 0, 0, -2, 0, 0, 0)",3,72
184,4,"(0, 0, 1, 4)",20,23,190,"(-1, -1, 1, 1, 1, -1, -1, 1)",3,72
119,4,"(0, 0, 1, 5)",11,28,136,"(-1, -1, -1, -1, 1, 1, -1, -1)",6,27
60,4,"(0, 0, 4, 1)",5,29,75,"(0, 0, 0, -2, -2, 0, 0, 0)",3,72
49,4,"(0, 0, 4, 7)",4,28,19,"(-2, 0, 0, 0, 0, -2, 0, 0)",1,27
29,4,"(0, 0, 5, 4)",2,36,221,"(1, 1, -1, 1, 1, -1, 1, 1)",5,27
30,4,"(0, 0, 5, 5)",2,37,222,"(1, -1, 1, 1, 1, -1, 1, 1)",5,27
150,4,"(0, 0, 5, 6)",15,34,205,"(1, 1, -1, 1, 1, 1, -1, 1)",4,27
107,4,"(0, 0, 5, 7)",10,21,61,"(0, 0, 2, 0, 0, -2, 0, 0)",1,27
183,4,"(0, 0, 7, 4)",20,22,189,"(-1, 1, -1, 1, 1, -1, -1, 1)",3,72
170,4,"(0, 1, 1, 4)",18,24,166,"(-1, -1, 1, 1, -1, 1, 1, -1)",3,72
100,4,"(0, 1, 1, 5)",9,25,114,"(1, -1, 1, -1, -1, -1, -1, -1)",0,27
233,4,"(0, 1, 4, 1)",32,36,135,"(-1, 1, 1, 1, -1, 1, -1, -1)",6,27
190,4,"(0, 1, 4, 2)",21,26,198,"(-1, -1, 1, 1, -1, 1, -1, 1)",4,27
167,4,"(0, 1, 4, 4)",17,33,163,"(-1, 1, 1, -1, -1, 1, 1, -1)",3,72
230,4,"(0, 1, 4, 5)",30,38,131,"(1, 1, 1, -1, -1, 1, -1, -1)",6,27
116,4,"(0, 1, 4, 6)",11,21,73,"(0, 0, 0, 2, -2, 0, 0, 0)",3,72
208,4,"(0, 1, 4, 7)",24,34,224,"(1, -1, -1, -1, -1, 1, 1, 1)",2,27
239,4,"(0, 1, 5, 0)",36,37,142,"(-1, -1, 1, 1, 1, 1, -1, -1)",6,27
127,4,"(0, 1, 5, 3)",12,26,66,"(0, 0, -2, 0, 0, 0, 2, 0)",5,27
93,4,"(0, 1, 5, 5)",8,34,99,"(0, 0, 0, 0, -2, 0, 0, -2)",0,27
222,4,"(0, 1, 5, 6)",28,33,97,"(0, 0, 0, 0, 2, 0, 0, -2)",0,27
